discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2
1.5,2.5,1.5,3.0,320.73319562984244,0.6320385952227493,1.0,295.7177730803064,0.3192654610713478,1.5,96.99189965197694,0.9731982314847898,10.0,234.65810077485747,0.1968824561331159,10.0,134.14646600016812,0.7687069933797868,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,1.0,6.0,1.0,4.0,1.0,0.0,3.0,10.0
2.5,4.5,3.5,108.0,190.4852446478573,0.6876369583547576,1.5,319.88892513234856,0.4038933152302604,10.0,146.55807586330766,0.979663507902948,1.0,109.99398870633507,0.7029150623019403,1.5,35.673903029378145,0.8905235193567433,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,4.0,9.0,4.0,0.0,5.0,3.0,3.0
3.5,1.5,3.5,106.0,302.2235574445312,0.1755914503591295,10.0,40.7952778573976,0.0084468861804203,1.5,319.636192339389,0.3753494094676485,1.0,235.267390527502,0.9151835121343946,10.0,305.0187075828436,0.8856739024787998,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,2.0,9.0,7.0,1.0,5.0,7.0,7.0
3.5,3.5,3.5,44.0,141.54401952389628,0.0086968182239737,1.5,223.91331276568485,0.718135990420891,10.0,107.4089352896494,0.5661836893153441,1.5,162.9337086945274,0.8825829639670347,10.0,126.92358023142567,0.3031834935757806,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,10.0,4.0,1.0,9.0,2.0,8.0,5.0,3.0
2.5,1.5,1.5,123.0,210.2191083633676,0.0112583160801036,1.0,212.41544453290487,0.8522626211798814,1.0,207.2553070667336,0.8486797226443936,1.0,103.33750980275228,0.952435247350803,1.5,116.42744329989569,0.0307625430302118,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,0.0,8.0,2.0,5.0,9.0,4.0
1.5,1.5,1.5,37.0,35.0444264915641,0.9387825980794324,1.0,253.66376667877057,0.8894067137461248,10.0,257.4253784384066,0.8883888271829913,1.0,188.64424418557093,0.7959409785488297,1.5,181.8758076763596,0.011107691570791,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,9.0,10.0,5.0,1.0,4.0,6.0,8.0
