hypervolume,epsilon_progress,nfe
0.0,0,0
0.6029219807119851,5,100
0.6654762109106983,8,300
0.6746394592028219,13,598
0.6801386991147476,16,891
0.6801403418578655,17,1163
0.6801403418578655,17,1410
0.6801403418578655,17,1628
0.6801403418578655,17,1882
0.6801403418578655,17,2130
0.6801403418578655,17,2339
0.6801403418578655,17,2601
0.6801403418578655,17,2849
0.6801403418578655,17,3099
0.6801403418578655,17,3313
0.6801403418578655,17,3578
0.6801403418578655,17,3779
0.6801403418578655,17,4024
0.6801403418578655,17,4292
0.6801403418578655,17,4492
0.6801403418578655,17,4752
0.6801403418578655,17,4952
