0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Difference in Expected Annual Damage Deventer-Gorssel,Expected Annual Damage Gorssel,Difference in Expected Number of Deaths Deventer-Gorssel
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,66.0,146.9190288059197,1.0,6.0,1.0,5.0,0.4211832838382543,87.78732045891171,1.5,7.0,3.0,5.0,0.9131687355414908,66.89890392257655,10,1.0,2.0,6.0,0.9270445199401477,143.32821416733518,1.5,0.4939223600822426,138.9885952836362,10,0.016992053011310224,3.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Policy 0,dikesnet,1016965460.2115613,0.009009620928871788,0.8888166494891401
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,96.76958184499841,10,8.0,6.0,0.0,0.4629436921904753,113.4449840472532,1.5,2.0,4.0,9.0,0.8797826052442073,217.7383088493609,10,8.0,1.0,3.0,0.6226396409104084,122.21772293233671,1.0,0.5062815809116958,77.53440972776929,10,0.7527220506990528,1.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,Policy 0,dikesnet,10735582.200523768,0.008828119081398985,0.00863743653062307
1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,24.0,134.09967254885112,1.5,1.0,4.0,2.0,0.12752536206182538,34.46315375429613,10,7.0,2.0,8.0,0.7526983041984008,135.95836643806223,1.0,9.0,6.0,0.0,0.4894857859572169,108.99707911801389,1.5,0.8955084838779598,308.29139505982903,1.0,0.7157204045047115,1.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,Policy 0,dikesnet,125879613.16014776,0.004222526037650512,0.11002603152689398
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,81.25226327259445,1.5,1.0,4.0,9.0,0.23595833411927813,248.90841370640243,10,6.0,2.0,10.0,0.5608535325493181,34.592500202304535,10,5.0,5.0,9.0,0.5544143800021188,56.256734049386594,10,0.13683119690932527,224.62137528139942,10,0.6644642690487986,3.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,Policy 0,dikesnet,35446238.9475345,0.054553607223922856,0.018184535741307618
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,11.0,113.36086096646183,1.5,2.0,8.0,7.0,0.541235632491261,213.29433724509704,10,9.0,4.0,8.0,0.3193498924218138,80.80710401132863,10,0.0,1.0,5.0,0.027276995200445676,285.1207521903551,1.0,0.21466924010818847,178.7103457020122,10,0.09450990649183501,1.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,Policy 0,dikesnet,245219717.11033806,0.015020405016585832,0.21884589698647303
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,54.0,168.42848065566218,1.5,0.0,2.0,10.0,0.731473157000683,140.94601376334,1.5,8.0,6.0,1.0,0.8559973014646162,298.0199344022629,1.0,9.0,6.0,2.0,0.7469624776591773,325.81406255533466,10,0.2915622768706513,134.26666964580488,1.0,0.3197836086314038,4.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,Policy 0,dikesnet,58879463.722144,0.028914172113621472,0.04146251732059478
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,81.0,249.78140623601163,1.5,4.0,3.0,7.0,0.9064637447014284,320.7860321710772,1.5,3.0,0.0,2.0,0.9542273406135291,330.7990621370089,10,2.0,4.0,0.0,0.686221444366966,313.5323581474032,1.0,0.33737938528502576,112.14579276776597,1.0,0.937282310937338,2.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Policy 0,dikesnet,23937769.75478392,0.031038279260204638,0.010394068725998504
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0,125.26839224027584,1.5,8.0,5.0,3.0,0.6411569437201271,172.5553729590998,10,1.0,5.0,9.0,0.16021380140100444,265.7176171911651,1.5,4.0,5.0,10.0,0.13373282734844305,196.25466963075667,10,0.5403712159227861,278.14289599413326,1.0,0.13113627200921743,3.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Policy 0,dikesnet,636982762.4813435,0.006610426806882088,0.5165402177790663
1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,258.87247057023745,10,6.0,3.0,3.0,0.3323612686775101,159.13555566354466,10,1.0,6.0,0.0,0.3979563248094799,110.08104460841936,10,4.0,8.0,7.0,0.26603665055774345,147.8365266838352,1.0,0.8313030002840246,40.214427970863156,1.0,0.9673891598491623,4.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,Policy 0,dikesnet,8820901.491909984,0.003142513205597654,0.006372975738067199
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,61.0,232.8321604283995,10,3.0,2.0,6.0,0.8339288615795692,52.83457270061674,10,6.0,7.0,4.0,0.6736946422003613,193.1770235656111,1.5,2.0,7.0,3.0,0.658395232547916,170.4732917206581,10,0.11203143378767409,70.12283567952556,10,0.14186133093673917,4.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Policy 0,dikesnet,96170889.37613624,0.05115035953039457,0.07964589253150417
