0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Difference in Expected Annual Damage Deventer-Gorssel,Expected Annual Damage Gorssel,Difference in Expected Number of Deaths Deventer-Gorssel
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,67.0,337.24429445424096,10,10.0,10.0,6.0,0.06845276663813231,206.5198451416145,1.0,0.0,8.0,10.0,0.49612356607381913,333.1567824889808,10,6.0,10.0,7.0,0.5645806607716187,207.1690377079045,10,0.5610486525650664,329.55217049109945,1.5,0.29078490171056814,3.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Policy 0,dikesnet,282604212.15719134,0.009341288054226874,0.26192115227605106
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,201.99124208074605,1.5,8.0,9.0,10.0,0.5849983213009772,96.52671061118632,10,6.0,0.0,7.0,0.3393324206838244,310.1419783564602,1.0,5.0,7.0,2.0,0.27643481468436687,263.6016565873129,10,0.9469962769144158,56.351521592026785,10,0.32673989826980815,1.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,Policy 0,dikesnet,221106762.35850346,0.0015346331477738813,0.22389353290798625
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,92.0,296.22419152450925,1.0,5.0,8.0,2.0,0.17344364767955261,212.7283666524748,1.0,4.0,9.0,8.0,0.5236161800315846,304.45861275871215,1.0,10.0,4.0,10.0,0.22730154677222703,64.10712022841648,1.0,0.3132546986845789,39.40862225130517,1.0,0.9545910679117195,1.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,Policy 0,dikesnet,80118859.53672335,0.03376474217941394,0.03376474217941394
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,190.56126490137058,1.0,7.0,9.0,5.0,0.37756557144889114,249.01070778374688,1.0,7.0,10.0,0.0,0.6294200315234693,202.77401611506232,10,0.0,7.0,0.0,0.4854472158033213,103.72985948643115,1.0,0.8892761900465868,278.1087037901395,1.5,0.45115039614880825,4.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,Policy 0,dikesnet,129782737.87472036,0.002500405399101816,0.13852626307836535
0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,19.0,299.9645880370557,10,2.0,2.0,2.0,0.9744381059877615,224.98902417013366,1.5,6.0,1.0,0.0,0.13059452144958034,245.1964700777249,10,9.0,8.0,9.0,0.9132906664025504,45.93086547814529,10,0.6100511654845453,311.64773349749385,1.5,0.5611896474081925,2.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,Policy 0,dikesnet,167702606.4604651,0.008326670248752199,0.13842230491301122
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,58.0,261.6464497479668,1.0,10.0,0.0,7.0,0.4161721053618975,200.05452487369124,1.5,7.0,7.0,5.0,0.01744948022173123,257.5305188306544,1.0,3.0,2.0,6.0,0.8364524846509079,241.65279229269845,1.0,0.745372425001491,164.89470176688317,1.0,0.7674093459069213,3.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,Policy 0,dikesnet,51685976.55177202,0.005339761007829099,0.04304620586826104
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,82.0,239.0072699938175,10,9.0,5.0,3.0,0.9203345706232601,141.57723519239198,10,9.0,9.0,7.0,0.7888469097432066,135.7885995153947,10,9.0,9.0,3.0,0.8994175779407043,296.3476611415675,10,0.9099785807828865,73.80878660496411,10,0.5022279071246497,4.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Policy 0,dikesnet,172098359.20574218,0.0039242708567608035,0.1541950140397173
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,48.0,340.6212751198888,10,1.0,1.0,5.0,0.297315563275147,35.603431939115545,1.5,3.0,3.0,10.0,0.8420100572345793,279.1805028930084,1.5,4.0,2.0,7.0,0.3104011317652636,31.756504136163265,1.0,0.5251503289541737,132.65082557060143,1.0,0.12282460993471005,1.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Policy 0,dikesnet,473672515.5198836,0.008061827960539744,0.44287156607512723
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,139.46120011925493,1.0,8.0,10.0,8.0,0.22844769587569871,265.02936488034607,10,9.0,0.0,4.0,0.044293102631241504,45.1929611634532,1.0,10.0,9.0,8.0,0.9558760880530719,250.75686213574156,1.5,0.08356878332571643,122.48311157462213,10,0.4209699585344745,4.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,Policy 0,dikesnet,97494748.36045268,0.05872161690411544,0.05872161690411544
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,32.0,245.51575440493855,1.0,4.0,7.0,6.0,0.04416675545265062,282.9101536030026,10,9.0,4.0,9.0,0.706781802820273,163.2902381118649,10,10.0,6.0,8.0,0.8152749816337296,125.46867045155238,1.5,0.5790401962015247,153.09848612876584,10,0.2577059391371205,4.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Policy 0,dikesnet,450751753.7577605,0.008023767914546545,0.44507305244907047
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,228.6865891781992,1.0,6.0,4.0,0.0,0.8015263295110153,44.54334044841929,10,2.0,3.0,3.0,0.4403848968731706,120.96243119675964,10,3.0,10.0,0.0,0.7631289616024058,302.46439846291844,1.0,0.2944118372273731,252.94867507990216,10,0.027217336256235746,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Policy 0,dikesnet,707878851.3012701,0.03450051983451082,0.8657772672346062
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,55.0,133.89143368632494,1.5,0.0,4.0,4.0,0.2334636732226505,168.19366808788746,1.0,2.0,7.0,9.0,0.6622247656521512,325.1475185344644,1.0,5.0,8.0,3.0,0.5155650248803446,139.5705809661132,10,0.9983497562886445,197.0466581925123,10,0.1539101642888106,1.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Policy 0,dikesnet,541084867.7154555,0.00022240110511462938,0.4565418369463954
0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,35.0,44.01547019742974,1.5,3.0,6.0,1.0,0.15685866292908066,293.6416375049107,1.5,1.0,10.0,1.0,0.2542085324620808,52.53979708183527,1.0,4.0,0.0,10.0,0.17368812862235417,149.4439340045912,1.0,0.10834594534985578,216.345234375578,1.0,0.7414977095538278,3.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Policy 0,dikesnet,144441317.0747605,0.06427875381113549,0.06427875381113549
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,125.0,119.03867357544576,1.0,9.0,9.0,7.0,0.10455664356236438,182.9485174140296,1.5,8.0,6.0,5.0,0.9849477718199435,107.24297125198147,1.5,5.0,1.0,9.0,0.784305321343306,232.18797589450588,1.5,0.36964105460600477,339.75597251425836,1.0,0.09503109961183044,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,Policy 0,dikesnet,764214570.2643327,0.03679149654469768,0.618242664091889
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,72.0,110.5054849879027,1.5,4.0,3.0,8.0,0.9451830648461719,55.568001515143486,1.5,7.0,6.0,1.0,0.5518822948145657,225.3809781457469,10,1.0,1.0,8.0,0.7164424406912396,344.39095715915835,10,0.7222364467485776,186.82513953623248,1.5,0.6771524374690719,3.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,Policy 0,dikesnet,105090995.11842945,0.005965313291766665,0.10442522761646732
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,101.04275564438323,1.5,8.0,8.0,9.0,0.6160348253783426,328.5662345691676,10,0.0,5.0,3.0,0.28798652496329535,32.45602274969534,1.5,7.0,9.0,0.0,0.4483870675568964,169.9547378374242,1.5,0.6420982169385897,104.73234903920614,1.0,0.6531544991166284,2.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,Policy 0,dikesnet,77832402.45940396,0.0051459687290489305,0.049867864577184104
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,111.0,154.61526186945872,10,3.0,3.0,3.0,0.6371119050133318,330.61537382234985,10,3.0,8.0,8.0,0.7390904742704952,169.07924512333832,1.5,7.0,5.0,6.0,0.1324089378914709,58.86923893176167,1.5,0.48362862181623084,260.37537661261695,1.5,0.8405690380563677,4.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Policy 0,dikesnet,15207252.794914884,0.009740116226982294,0.009740116226982294
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,311.6285539387784,1.5,5.0,2.0,4.0,0.8707910240938335,239.181325627275,10,10.0,6.0,1.0,0.41388407986172226,239.67170033847412,1.0,1.0,4.0,2.0,0.5851225989949658,185.54302799822094,10,0.40225334218647263,328.57833165827634,1.0,0.3627625540064401,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,Policy 0,dikesnet,92273532.93538286,0.015617752520226446,0.06712219706269057
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,132.0,326.95344588978014,10,1.0,5.0,3.0,0.31199348756669093,176.480691521751,1.5,5.0,10.0,6.0,0.13785918691007912,185.09861620996614,1.5,0.0,3.0,4.0,0.6850256467163135,88.55479572621954,1.0,0.3550658415338888,223.67924452927565,10,0.21530518616826944,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Policy 0,dikesnet,277172285.05076057,0.03584289131397584,0.20755671646544094
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,86.0,173.2791538492733,1.0,6.0,1.0,5.0,0.7274832057188665,123.14715550095696,1.0,6.0,2.0,9.0,0.8931881837842043,143.04265094448937,10,1.0,4.0,5.0,0.050168353873215256,314.49417653682036,1.0,0.8284065154745884,137.1094869147221,1.5,0.467394586240886,1.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Policy 0,dikesnet,93294730.301128,0.0025331712774857703,0.10101502674117367
