0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Difference in Expected Annual Damage Deventer-Gorssel,Expected Annual Damage Gorssel,Difference in Expected Number of Deaths Deventer-Gorssel
1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,216.17930864391042,10,10.0,2.0,1.0,0.7967010249693859,308.6466195112855,1.5,9.0,5.0,7.0,0.8071048555568389,286.94424834318,1.5,8.0,7.0,7.0,0.6188583801130426,164.24724806124956,1.5,0.15012646840269206,295.29375378877273,1.5,0.06534044628022329,2.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Policy 0,dikesnet,883904122.2339423,0.049953932268929815,0.5706726287556867
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,179.76144637171282,1.0,6.0,0.0,8.0,0.43397485825603155,92.56748554396056,10,2.0,5.0,4.0,0.5811017028999145,97.64856911458874,1.0,0.0,5.0,10.0,0.4304499134513305,106.1432318273138,1.5,0.2460472749087519,175.63486349438742,10,0.9030640401319774,4.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Policy 0,dikesnet,82962328.77677825,0.03509977135650599,0.03509977135650599
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,118.0,163.15302307313996,1.0,2.0,4.0,0.0,0.3552230313259924,260.8413074748812,1.5,8.0,4.0,0.0,0.9420824728814844,272.10462082448464,10,5.0,3.0,3.0,0.3531815909896392,78.46167245903048,10,0.43664500560260616,306.77563178459786,1.0,0.8176663487820656,1.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Policy 0,dikesnet,86314688.47790729,0.03668363165647208,0.03668363165647208
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,284.9694954693605,10,1.0,0.0,10.0,0.5411137993792512,110.52027901329254,1.0,5.0,2.0,6.0,0.08047248000841525,214.18161961001377,1.5,3.0,6.0,5.0,0.3970438646324766,271.1964030017661,1.0,0.001389029779968424,207.73662885760046,1.5,0.389657954041633,4.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Policy 0,dikesnet,124434768.85032396,0.05794830237358886,0.05794830237358886
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,75.0,85.91217610092389,1.5,1.0,6.0,7.0,0.7571007163674117,157.51251562314607,1.0,4.0,1.0,3.0,0.17624178671316035,73.89302883706117,1.5,2.0,2.0,1.0,0.6452468083867569,279.88990943808136,10,0.7842887053986676,102.6200493039916,10,0.8956102994573685,3.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Policy 0,dikesnet,22390422.59586506,0.0034789757548114096,0.02105387890031844
0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,24.0,268.1801244567881,1.5,7.0,6.0,9.0,0.021214456758864998,131.94067375228857,1.0,0.0,1.0,2.0,0.2265459584664361,195.95239702763732,1.5,6.0,5.0,4.0,0.08011317096126791,132.20898652668222,1.5,0.20068279339001788,43.6091933261099,1.0,0.1783993321246453,3.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Policy 0,dikesnet,127584486.03024724,0.04318617459850105,0.07821808600556064
1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,101.0,68.29707689174442,1.5,0.0,3.0,1.0,0.5095506285005049,303.4398046348198,1.0,1.0,9.0,5.0,0.6843013485640262,345.64854433905106,1.0,7.0,0.0,1.0,0.9922299089797172,218.09687063403274,1.5,0.8617558088995145,236.5027825919525,1.0,0.9852037507294581,2.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Policy 0,dikesnet,35191349.272419006,0.003798186600934635,0.03665032943546106
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,95.0,33.51239535685298,1.5,4.0,8.0,10.0,0.8559462468688557,78.09620877961129,1.5,4.0,4.0,10.0,0.916245952430017,89.33176751845292,1.0,9.0,2.0,5.0,0.23957454646803922,325.7484982968747,1.5,0.18567637677163468,267.83725140521926,1.5,0.6279417038287483,1.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Policy 0,dikesnet,64430218.128014944,0.033901239721410764,0.033901239721410764
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,103.0,52.85660234262603,10,3.0,7.0,0.0,0.6863184398931697,339.670765414726,10,3.0,7.0,5.0,0.3711132475354553,150.15833511287735,1.5,2.0,10.0,2.0,0.006034903473209193,192.20926084375355,1.0,0.05856322174767553,88.4254300644349,1.5,0.5763546287484714,3.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Policy 0,dikesnet,100496003.22401379,0.04716559771395709,0.04716559771395709
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,66.0,81.89915919858181,10,7.0,6.0,6.0,0.48699743403384393,62.371049408875436,1.0,10.0,0.0,2.0,0.3247715622705461,63.072071985118974,10,8.0,0.0,4.0,0.13656668888215265,337.16526479821056,10,0.681213560044928,65.73215126071122,10,0.7234170844629347,2.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Policy 0,dikesnet,31621857.979694337,0.005611018808480715,0.03096475622607515
