discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2
4.5,2.5,2.5,125.0,140.86516314584048,0.600513043769913,1.0,202.6386287991024,0.031841765701616,1.5,78.23782798670248,0.8738371115041745,1.5,314.24103867420087,0.6033775044982499,10.0,170.21522048612812,0.2805006899558374,1.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,6.0,10.0,0.0,1.0,1.0,3.0,4.0,9.0
4.5,2.5,4.5,72.0,302.889234351208,0.7528166641969339,10.0,168.77855984916516,0.4945737712054776,10.0,338.2175593171714,0.1797782080943681,1.0,342.8743850377286,0.2461832678024606,1.0,292.4712338976913,0.3849391419194088,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,2.0,4.0,2.0,6.0,3.0,10.0
4.5,4.5,3.5,68.0,39.88463862187335,0.9377144212396362,1.0,314.39128979434986,0.2779603144698135,1.5,202.71952090261183,0.5481964199374232,1.5,250.52252042601617,0.0522070252495682,1.5,343.2433668093531,0.5985661199041477,10.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,9.0,6.0,9.0,3.0,6.0,6.0,1.0,8.0
1.5,4.5,2.5,22.0,327.9986379714017,0.2902989023751451,1.5,166.63880428331345,0.7091152386359021,1.0,324.442592916196,0.3947683632793123,10.0,169.9484850665301,0.492834593491384,1.0,76.75320743024145,0.3036545903285859,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,5.0,5.0,2.0,4.0,10.0,6.0,0.0
3.5,2.5,3.5,123.0,114.91151493470262,0.8789127251644235,1.5,332.32080279552474,0.8979076678216529,1.0,208.0847250162848,0.5729774955574984,10.0,145.53569287390795,0.9128545969478702,10.0,114.81586425213004,0.0164616688960415,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,7.0,9.0,3.0,6.0
1.5,1.5,1.5,74.0,209.86914471325107,0.0459589638762318,1.0,277.0353301945117,0.02505776154137,10.0,242.2220601465534,0.7516547618682773,1.0,228.69808423007944,0.5654927576344008,10.0,273.3692283939159,0.0069755480995318,1.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,7.0,10.0,10.0,10.0,1.0,3.0,0.0,3.0
