hypervolume,epsilon_progress,nfe
0.0,0,0
0.9963450143567277,15,100
0.9992471373701058,22,399
0.9998904489963836,28,697
0.9999084613735507,30,897
0.9999580205033003,34,1195
0.9999580205037795,35,1493
0.9999674062746678,36,1789
0.9999674062746678,36,2082
0.9999674062746678,36,2375
0.9999674062746678,36,2670
0.9999755632884009,37,2965
0.9999755632884009,37,3263
0.9999755632884009,37,3556
0.9999755632884009,37,3850
0.9999755632884009,37,4145
0.9999755632884009,37,4439
0.9999755632884009,37,4736
0.9999937576601333,40,5029
0.9999937576601333,40,5324
0.9999937576601333,40,5616
0.9999937576601333,40,5816
0.9999937576601333,40,6111
0.9999937576601333,40,6401
0.9999937576601333,40,6698
0.9999937576601333,40,6994
0.9999937576601333,40,7280
0.9999968812583144,41,7480
