hypervolume,epsilon_progress,nfe
0.0,0,0
0.8150921172255919,14,100
0.9068988173202144,29,395
0.9046792445631058,37,691
0.9324215214437649,53,990
0.9481660790472076,67,1288
0.9507081434111456,78,1586
0.9579070148119616,88,1879
0.9590547850147881,93,2079
0.9611912442322901,101,2374
0.962432167704178,108,2666
0.9628224992021697,114,2961
0.9628915592210737,116,3247
0.9627488509853591,117,3526
0.9627488509853591,117,3819
0.962648968328141,118,4107
0.962648968328141,118,4397
0.9626282781131431,119,4683
0.9626282781131431,119,4967
0.9624536823076468,121,5251
0.9624536823076468,121,5543
0.9624536823076468,121,5827
0.9624536823076468,121,6105
0.9624536823076468,121,6388
0.9624014417024505,122,6672
0.9624014417024505,122,6962
0.9624014417024505,122,7248
0.9624014417024505,122,7534
0.9624014417024505,122,7822
0.9624014417024505,122,8113
0.9624014417024505,122,8402
0.9624014417024505,122,8696
0.9624014417024505,122,8988
0.9624014417024505,122,9276
0.9624014417024505,122,9568
0.9624014417024505,122,9787
