discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2
4.5,4.5,1.5,23.0,313.1820290064035,0.9872990607082522,10.0,39.62684842673399,0.0028632702417353373,10.0,183.24085218724545,0.7479190813289855,1.0,70.65551150364121,0.8704588494473585,1.5,236.96631710418785,0.3315000871913685,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,0.0,3.0,4.0,2.0,6.0,6.0
3.5,4.5,1.5,20.0,192.06467469038242,0.8085578664536525,10.0,251.5489456867985,0.8644731411387471,1.5,67.43391532653796,0.438683787953882,1.5,267.49431987110825,0.7499832047699677,1.5,326.3239666607682,0.4734949684889657,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,5.0,0.0,6.0,3.0,3.0,4.0,4.0
3.5,3.5,1.5,130.0,92.40846715247343,0.3670351301877637,10.0,218.76800740012268,0.3660927214631742,10.0,137.01528624442378,0.5492803013209993,1.0,321.4926102928473,0.4782696450522153,10.0,101.6378170098814,0.7634458449745021,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,10.0,10.0,4.0,3.0,3.0,9.0,9.0,3.0
1.5,3.5,3.5,62.0,326.2017712545728,0.3974864245545069,1.5,186.60352390762424,0.10534224200830213,1.0,224.12458160807412,0.5141044324222698,10.0,269.44228653820875,0.28604516125857066,10.0,332.0953050109144,0.06729051200625033,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,2.0,10.0,7.0,8.0,10.0,2.0
4.5,2.5,1.5,81.0,271.9680540238241,0.2254730251153881,10.0,117.27976590429078,0.3314005221530549,10.0,78.2934599585461,0.7820652605191,10.0,304.6562614495119,0.034220455816002644,10.0,270.3171519650561,0.4957975824691399,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,10.0,8.0,9.0,6.0
1.5,1.5,1.5,33.0,63.8277807070173,0.2459787790023054,1.5,38.56159018793178,0.4259206849422788,1.5,229.41645587482273,0.3876986515368432,1.0,164.75448157896682,0.03525721247979464,10.0,30.6830112490526,0.4392029949386981,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,7.0,10.0,9.0,5.0,4.0,5.0,5.0,0.0
