hypervolume,epsilon_progress,nfe
0.0,0,0
0.9846076674840254,7,100
1.0,10,399
1.0,10,599
1.0,10,892
1.0,10,1183
1.0,10,1480
1.0,10,1775
1.0,10,2071
1.0,10,2362
1.0,10,2562
1.0,10,2856
