,hypervolume,epsilon_progress,nfe
0,0.0,0,0
1,0.10139445352627804,5,100
2,0.18406010900582892,11,300
3,0.21283052508277714,18,599
4,0.22653523716901586,22,799
5,0.23589132422556047,26,1097
6,0.24259044284915382,31,1396
7,0.2496467108954772,42,1685
8,0.2499343267481924,51,1969
9,0.2496238663568908,57,2246
10,0.24964578182792757,58,2517
11,0.24964586782856435,59,2787
