Difference in Expected Annual Damage Gorssel-Deventer,Difference in Expected Number of Deaths Gorssel-Deventer,Gorssel Expected Annual Damage,Gorssel Expected Number of Deaths,Total Costs of Policies
-2097.573668730273,-1.4341844300913174e-06,1577790.9622274197,0.0007045448860437221,1272666971.0215058
-1010.2268134129699,-9.220593143131708e-07,0.0,0.0,750324527.2057211
-332.5296132898501,-3.7092815899342135e-07,0.0,0.0,1052681157.0075427
-1552.416233353931,-1.526125577747226e-06,1128408.5054956854,0.000738659797182218,1079261114.1139126
-10143.471667955926,-6.609409509598595e-06,22526669.455838367,0.009114929372398361,1029755301.6442711
-5292.03374353038,-5.230882133506616e-06,0.0,0.0,893773565.6652429
-2311.526594191862,-1.5493944571444139e-06,0.0,0.0,1079470998.1937912
-5724.115536032084,-5.076383311527849e-06,0.0,0.0,1110609177.8422222
-2219.4942853559937,-1.5145880566655603e-06,0.0,0.0,521437182.5194075
-1822.4153024939042,-1.8620203706683451e-06,4042853.405004806,0.002712660313472787,985456132.6756009
-4028.1584309167397,-4.5803249076913795e-06,12804922.689024603,0.0088838730584326,1167249385.8823433
-2205.3098333205216,-2.264809313227974e-06,0.0,0.0,863724886.1926199
-1961.5046265522733,-1.8179305271785995e-06,0.0,0.0,894472645.307863
-725.586696042448,-6.180025135506871e-07,0.0,0.0,1347528628.1413832
-243.08712612041856,-2.2606645621910667e-07,0.0,0.0,1474349276.5020924
-704.7773317910586,-5.327232457656296e-07,0.0,0.0,1357658317.3029475
-7102.685203514811,-4.746987861532103e-06,0.0,0.0,951833548.1126423
-1056.6750941283976,-9.501735583607957e-07,0.0,0.0,936727276.5886078
-262.52327458224005,-3.39628341197448e-07,0.0,0.0,1282778132.7090871
-1111.9168471620687,-9.119208343785487e-07,0.0,0.0,977442601.6686156
-12306.979979888836,-1.0044960455065144e-05,0.0,0.0,779947505.3959241
-1173.942464762004,-1.2885093137944373e-06,0.0,0.0,1324154164.050421
-1757.0701503328726,-1.6055952199729173e-06,436456.67432283727,0.00039201589254950496,913236052.7203705
-364.5306469007413,-3.401588600671217e-07,0.0,0.0,759926423.1188319
-1183.5174580374505,-1.1087729366654513e-06,0.0,0.0,1092730625.191586
-2128.3423146443224,-2.0751477555626327e-06,0.0,0.0,875487229.3439962
-257.9826530799063,-2.406861269790907e-07,0.0,0.0,1183585509.0445108
-470.64731273904954,-3.886480213796859e-07,0.0,0.0,854258774.6805062
-952.4632422203719,-9.933826169924665e-07,0.0,0.0,564460194.7382607
-825.651342853401,-6.895624016921875e-07,0.0,0.0,964122368.0394188
-504.3866475803841,-4.90851281332394e-07,0.0,0.0,1200400578.5925555
-1498.1328364212065,-1.276320034448116e-06,0.0,0.0,1361387749.2003453
-685.2808488224925,-6.624930956037942e-07,0.0,0.0,952178670.1565068
-827.1636843860222,-7.196803019082124e-07,1992901.701428012,0.0011496598234258019,973057640.3583764
-8781.99506559775,-7.063248583061452e-06,33828271.51734666,0.0154886441619084,1140452672.8334153
-4603.455613012336,-4.0829828309366764e-06,0.0,0.0,1001782082.1295031
-4521.211931220198,-3.5648254456745974e-06,20420045.125062536,0.009791743317087386,930441734.9359473
-8421.885454918882,-7.002545050844322e-06,329204.29947949795,0.0001716309914895211,788699658.4551647
-926.4560376054029,-1.0246743983754956e-06,0.0,0.0,957846778.24009
-6842.598709263204,-6.774037841243014e-06,0.0,0.0,1349151325.0352862
-8212.952876123583,-6.819830860050829e-06,0.0,0.0,566689296.1900864
-279.9200430479207,-3.3896584553988846e-07,0.0,0.0,1050812517.4400425
-2456.079328271065,-2.382444330272184e-06,0.0,0.0,1255096364.5444305
-3638.1610509897064,-3.6107995114588545e-06,13200102.448195476,0.007927396212508781,635948684.30843
-8227.081501511771,-9.271874274205928e-06,0.0,0.0,876920435.554742
-989.081623695663,-1.1926740851522956e-06,484568.64791639266,0.00035227244302186105,1000128188.678104
-1009.0100852360332,-1.1070697553988465e-06,0.0,0.0,834806234.5122273
-1043.9208938418847,-7.0870489024653e-07,0.0,0.0,974252337.7882043
-249.97561188832324,-2.1600999333495136e-07,0.0,0.0,1289883780.7728672
-9171.72508906093,-7.18272971607258e-06,0.0,0.0,897719714.9499462
-205.13722865467196,-2.3390870811529742e-07,0.0,0.0,1189341972.8686957
-1552.5876931004543,-1.506932721042808e-06,1710550.4441699556,0.0010942540225959674,1275227132.483681
-9321.47814052115,-1.022400874750823e-05,244678.2688364694,0.00017970370343346425,1029431215.5812418
-798.9285658386975,-9.334809516124684e-07,0.0,0.0,971591681.7695233
-508.70747606897964,-4.432019842683456e-07,0.0,0.0,903468487.9242496
-7160.449130040412,-5.604810200169485e-06,0.0,0.0,1070250317.6712914
-1851.0825296510925,-2.3148565290960364e-06,4966216.941290551,0.00400147777196618,1014457419.4983736
-2242.918623837018,-1.85264146983383e-06,0.0,0.0,1070500179.100627
-1411.9646393672158,-1.2896772991150038e-06,0.0,0.0,959602719.9620075
-884.5894631418755,-6.656365653786926e-07,0.0,0.0,1203899432.1454055
-333.97840940105516,-1.6564291888987083e-07,33637971.41646487,0.0166833891476689,1307827960.0906181
-1955.967649742134,-1.62042952645706e-06,0.0,0.0,845966433.4037582
-5573.335681541811,-5.195689062100935e-06,359762.0809880666,0.00022555700103637794,1211516924.1766987
-9412.902125605679,-9.927824762884365e-06,1032838.757687017,0.0007733959413517996,1050292969.7726313
-271.4768434708346,-2.5393041308084915e-07,0.0,0.0,912024367.3890989
-2028.3357640979475,-2.178055277293989e-06,2885798.868285034,0.0019771455932649663,784152756.0096585
-6892.060401574758,-5.411672823542646e-06,0.0,0.0,668942661.8922417
-1043.1746785634098,-1.0831477736583661e-06,0.0,0.0,749649991.246912
-759.4049902338763,-9.06223406089125e-07,483713.4385734105,0.00035134809899490003,592111936.6944758
-2491.677306400551,-2.2903981081199234e-06,0.0,0.0,813189622.2936096
-2094.8271810873903,-1.8742880268101393e-06,0.0,0.0,1185071598.2661514
-1421.0090847879733,-1.4544696976634363e-06,0.0,0.0,1210764614.84152
-560.3114839691187,-7.067465009546031e-07,3164087.1229370814,0.002587659891499846,814937201.9953225
-5352.5629334288005,-3.8796236744581756e-06,0.0,0.0,1236648156.8466532
-3631.77622694938,-3.0889957071462036e-06,0.0,0.0,986102464.6329116
-390.25596631135755,-2.675982988248292e-07,0.0,0.0,985420102.446368
-1488.3131764619247,-2.0009295431403355e-06,91873.11462425048,8.352655171887602e-05,705403019.8910407
-2066.957733404037,-2.237708226681265e-06,0.0,0.0,985706842.1239814
-1217.5716554246674,-1.1881698514352503e-06,0.0,0.0,968518768.432586
-2533.433650852669,-2.280858296245153e-06,0.0,0.0,1173382932.2634404
-1321.4285708857774,-1.4513906626395747e-06,0.0,0.0,411894738.2577317
-388.7199344526478,-3.324178212730235e-07,6504308.004207455,0.0036002846741052556,1446257261.3361914
-2043.9128383415143,-1.8475391693422718e-06,1300531.4658424868,0.0007268089950844671,1383082934.269362
-710.7895335400116,-7.211732204145533e-07,1735416.584071312,0.0011752511299394624,826693834.6928632
-3637.610091958867,-2.9798124690604206e-06,508124.68742546433,0.00037773274066447505,1014397720.2214558
-2597.2644612894933,-2.345350310118726e-06,0.0,0.0,1045266493.6174787
-2215.8223039476993,-2.1046767036036645e-06,6014244.978461765,0.0035610155821113308,899458987.9857564
-8639.419903306845,-7.09038953651244e-06,0.0,0.0,1180330158.935946
-1699.1442576106358,-1.4017846079346348e-06,0.0,0.0,936425416.7246925
-4139.64114012917,-4.167702828483843e-06,0.0,0.0,778302802.0572283
-365.19602193167736,-2.968859814895827e-07,6166203.586351593,0.00330404609336669,686331845.9962168
-2933.7611523134988,-2.29949271678483e-06,0.0,0.0,1022130123.3568847
-2752.507206700679,-2.697084177897997e-06,9511.158457011807,5.335369346130078e-06,1238524233.7557595
-3549.546071434359,-3.2608756496291613e-06,0.0,0.0,611981232.8295907
-1309.7574624181168,-1.2095164382460164e-06,0.0,0.0,963898937.566382
-273.70744241707376,-3.548973859325141e-07,0.0,0.0,936460810.3323439
-1669.5755980197262,-2.261671130138455e-06,0.0,0.0,1071516013.7004136
-4816.129308219782,-3.5012323409671325e-06,0.0,0.0,809517482.6834203
-1462.5133512089021,-1.0916242408653023e-06,0.0,0.0,1206132749.9540102
-1864.9949029492773,-1.8213560534177433e-06,0.0,0.0,777284096.420058
-462.38212952779566,-2.2346590863264455e-07,46570665.70391005,0.022507262851571327,869357364.886387
-1508.6629773259108,-1.4405336347659942e-06,6318724.785364186,0.0038473586883406826,607547341.7538726
-852.1011573141901,-1.0878858234857462e-06,0.0,0.0,757639406.3917636
-2165.486817845639,-2.061296030194204e-06,175757.1178284916,7.909183134216342e-05,1022434170.470202
