hypervolume,epsilon_progress,nfe
0.0,0,0
0.8436316415014227,24,100
0.8770914739222158,34,396
0.88721841269089,50,596
0.9165110644437219,71,891
0.9350439696766354,90,1189
0.9352388181917223,96,1389
0.9417459918724042,111,1687
0.9534585693596083,121,1984
0.9568655237097538,129,2277
0.9607564733975149,137,2570
0.9607604351947788,140,2858
0.9615511172602142,142,3149
0.9611036916303257,147,3441
0.9611387697550593,148,3732
0.9611361967119774,154,4024
0.9611198832898588,156,4314
0.9611198832898588,156,4604
0.9611077720697004,158,4888
0.9611077720697004,158,5179
0.9609901606574351,159,5466
0.9609514902655862,160,5757
0.9609514902655862,160,6053
0.9609514902655862,160,6340
0.9607799063505398,161,6636
0.9607799063505398,161,6932
0.9607799063505398,161,7221
0.9608054828784014,162,7515
0.9608054828784014,162,7809
0.9608054828784014,162,8101
0.9608054828784014,162,8399
0.9608054828784014,162,8694
0.9608054828784014,162,8988
0.9608054828784014,162,9278
0.9608054828784014,162,9569
0.9608054828784014,162,9805
