discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2
4.5,2.5,2.5,125.0,140.86516314584048,0.600513043769913,1.0,202.6386287991024,0.031841765701616,1.5,78.23782798670248,0.8738371115041745,1.5,314.24103867420087,0.6033775044982499,10.0,170.21522048612812,0.2805006899558374,1.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,6.0,10.0,0.0,1.0,1.0,3.0,4.0,9.0
2.5,1.5,4.5,28.0,141.10746490994396,0.6727205162544895,10.0,176.96125934976183,0.5716453613794796,1.5,113.27530111146466,0.5656914135661588,10.0,42.88046192465872,0.4181403676931498,10.0,189.5063917381188,0.7089509869294891,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,5.0,3.0,3.0,0.0,7.0,8.0,0.0
4.5,4.5,3.5,50.0,225.72550667805316,0.7477085367731641,1.0,231.8991356289288,0.4878103510331649,1.5,234.68597848809935,0.7607768282839211,1.5,93.4377275243594,0.0076387207601729,10.0,158.67961254976507,0.3375233934182878,1.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,8.0,6.0,3.0,6.0
1.5,3.5,2.5,85.0,124.14404288188013,0.6355598794608993,1.0,273.22076548033976,0.2621513889320409,1.5,70.54207358788364,0.4205506649724643,10.0,290.55858208095924,0.9395063762055784,1.0,278.2259186153269,0.3037172073013489,10.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,7.0,3.0,5.0,9.0,10.0,0.0,10.0
3.5,2.5,3.5,123.0,114.91151493470262,0.8789127251644235,1.5,332.32080279552474,0.8979076678216529,1.0,208.0847250162848,0.5729774955574984,10.0,145.53569287390795,0.9128545969478702,10.0,114.81586425213004,0.0164616688960415,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,7.0,9.0,3.0,6.0
1.5,1.5,1.5,74.0,209.86914471325107,0.0459589638762318,1.0,277.0353301945117,0.02505776154137,10.0,242.2220601465534,0.7516547618682773,1.0,228.69808423007944,0.5654927576344008,10.0,273.3692283939159,0.0069755480995318,1.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,7.0,10.0,10.0,10.0,1.0,3.0,0.0,3.0
