hypervolume,epsilon_progress,nfe
0.0,0,0
0.3078478569461356,15,100
0.38578371382461707,33,397
0.40237731955760575,39,597
0.4031813168779459,48,797
0.411055625439018,60,997
0.41294890533306644,72,1197
0.42298951408329005,85,1496
0.42659093020399513,101,1793
0.4331331291932773,113,1993
0.4409148787699648,122,2287
0.44387935824704305,127,2576
0.44291844486292775,131,2865
0.4429120735460933,135,3141
0.4429880758730677,136,3421
0.4429626820856768,138,3704
0.44275412556444654,139,3985
0.4427916531015561,140,4274
0.44265298273695486,142,4554
0.44265298273695486,142,4840
0.44265298273695486,142,5121
0.44265298273695486,142,5400
0.44265298273695486,142,5683
0.44265298273695486,142,5969
0.44265298273695486,142,6256
0.44265298273695486,142,6544
0.44265298273695486,142,6826
0.44265298273695486,142,7117
0.44265298273695486,142,7400
