hypervolume,epsilon_progress,nfe
0.0,0,0
0.7964600725527944,13,100
0.9208720514780273,17,300
0.950487945025225,24,599
0.9798161142629329,31,898
0.9858757220158983,39,1196
0.9873126444278504,47,1493
0.9944048659859543,58,1791
0.9955370289387049,69,2084
0.9955511851044829,73,2366
0.9955397826769108,77,2648
0.9957198416475445,81,2929
0.9957196840953263,82,3206
0.9957196840953263,82,3479
0.9957196840953263,82,3754
0.9957196840953263,82,4028
0.9957199981557308,84,4305
0.9957199981557308,84,4591
0.9957199981557308,84,4865
0.9957199981557308,84,5144
0.9957199981557308,84,5415
0.9957199981557308,84,5688
0.9957199981557308,84,5967
0.9957199981557308,84,6252
